0,1,2
64.8k ACER ASPIRE 5 Corporate Laptop Review,36K views,1 month ago
New Samsung Budget Monitor! Samsung S22C310EAE Review,36K views,1 month ago
#1 Chinese Laptop Brand? Thunderobot Iger E1 Review,40K views,1 month ago
Siren for Cooling! | TEAM T-Force SIREN GD240E AIO Cooler Review,19K views,1 month ago
Best Value Workstation PC Build 2023,49K views,1 month ago
@CreatusComputer  এ একদিন,94K views,1 month ago
Walton's Best Budget Monitors till Date,48K views,1 month ago
4.7k Tk RAPOO VT9 Pro Gaming Mouse Review (NO RGB),22K views,1 month ago
60K BDT PC Build Guide 2023 ft Intel Arc A580 8GB,80K views,1 month ago
14900K & RTX 4080 Custom Loop In NZXT H9 Elite | PC Build 2023,74K views,1 month ago
4.5K BDT Budget ATX Case Review,24K views,1 month ago
Building An SSD Test System 100k++,40K views,1 month ago
RK M75 Gasket Mechanical Keyboard Review,34K views,1 month ago
The Monitor You May Trust । HP M22f Monitor Review,88K views,1 month ago
95k Ryzen 5 7500f DDR5 Gaming PC Build Guide 2023,91K views,1 month ago
The monitor won't disappoint you । Redmi G27 Review.,79K views,1 month ago
98K Tk Gaming Laptop Review | Hp Victus 15 (2023),51K views,1 month ago
সুপার ফাস্ট!! Kingsman KP800 SSD Review,32K views,2 months ago
100K White PC Build Guide 2023 | Ft Arc A770 16GB,122K views,2 months ago
Apple Gadgets a Laptop? Jamuna Future Park Vlog,40K views,2 months ago
ফুল সাইজ কীবোর্ড নাকি এটা নিবো! Feker IK65 Mechanical Keyboard Review,26K views,2 months ago
ASUS Rog Ally Z1 Extreme Review,41K views,2 months ago
চায়না'য় Walton?,94K views,2 months ago
China Mobile Market Vlogs EP. 2,95K views,2 months ago
China Mobile Market Vlogs EP. 1 : Exploring the Cost of Chinese Smartphones!,64K views,2 months ago
Our 1st Canton Fair Experience Vlogs,28K views,2 months ago
China PC Market Vlogs Part 2 SEG E-Mall Shenzhen,55K views,2 months ago
China PC Market Vlogs Part 1 SEG-E Mall Shenzhen,73K views,2 months ago
Best Of BD: Laptop Battle Season 1 | First ever keyboard and laptop showdown | Episode 3,28K views,3 months ago
8K BDT Montech Air 1000 Premium Case Review,31K views,3 months ago
300K Tk Best of BD PC Battle Flagship Round,64K views,3 months ago
Best Of BD: PC Battle Season 2 | Burner Upto 100K | Episode 2,38K views,3 months ago
Best Of BD: PC Battle Season 2 | Starter 50K | Episode 01,52K views,3 months ago
Offers from Perennial Computer Ft. City IT Mega Fair 2023,35K views,3 months ago
Techland Special Deals for City IT Mega Fair 2023,51K views,3 months ago
BDT 70K PC Build Guide ft Star Tech IDB,136K views,3 months ago
Singapore Computer Market Vlog! Sim Lim Square,55K views,3 months ago
45k 4k Monitor! | MSI Modern MD271UL Review,27K views,3 months ago
Best Value RTX 4060 Laptop Review | BDT 200K Tk,38K views,3 months ago
Freefire on iPhone 15 Pro Max Game Test,14K views,3 months ago
iPhone 15 Pro Max @Apple,11K views,3 months ago
কিনে ফেললাম 1st iPhone 15 Pro Max Natural Titanium সিংগাপুর,130K views,3 months ago
Under 50K Tk | 4K Video Editing PC Build Guide 2023,151K views,3 months ago
How to Build a Gaming PC ft Banani Ryans Computers,349K views,3 months ago
Under 27K TK Gaming Monitor Review | Lenovo G27 144Hz,22K views,3 months ago
49.5k Tk PC Build Guide ft Intel Arc A380,113K views,4 months ago
4k BDT Smart Watch Imiki ST1 Review,17K views,4 months ago
17.5K BDT Peladn RX 5500 xt Graphics Card Review,87K views,4 months ago
4K Bdt Gamdias Talos E3 Series Review,47K views,4 months ago
Hackintosh PC Build with Kids,89K views,4 months ago
8.9k Tk Acer 100Hz KA222Q Monitor Review,90K views,4 months ago
Qbits Lania X1 | Mini PC Testing & Review,51K views,4 months ago
60k Tk Student Laptop Review | Lenovo Ideapad 15AMN7,84K views,4 months ago
Cheapest RTX 4070ti Review | Maxsun iCraft,39K views,4 months ago
একটি ছোট কিউট কেস রিভিউ,33K views,4 months ago
"Another Budget Killer SSD Review | BDT 3,000 Tk",55K views,4 months ago
First RTX 4050 Laptop In Bangladesh | BDT 150K,68K views,4 months ago
"9,900 Tk Revenger LEO Dynamic | PC Case Review",53K views,4 months ago
105K Tk DDR5 Gaming PC Build Guide 2023,143K views,5 months ago
"700k Tk Speed! I mean, Gaming PC Fastest in BD | Directors Cut",73K views,5 months ago
Fastest Bangladeshi 4K Gaming PC Build | BDT 700K,275K views,5 months ago
"5600G, 5700g কাদের কেনা ঠিক হবে না। Common Misconception's",226K views,5 months ago
Under 50K Tk Gaming PC Build Guide 2023,309K views,5 months ago
9.9K Tk Value-Top T22IF IPS Monitor Review,170K views,5 months ago
300K Video Editing PC Build for @KiKenoKivabe,107K views,5 months ago
26K NZXT H9 Elite | Kidney Case Review,58K views,5 months ago
HDD VS SSD ft OCPC XTL 200 1 TB SATA SSD Review,104K views,5 months ago
84K SSC Special PC Build Guide | Ft. ARC A750 8GB,133K views,5 months ago
PC Market Warranty & After Sales Part 1 - RAM Lifetime Warranty  SCAM!,77K views,5 months ago
Cheapest 165Hz Gaming Monitor in market! | Lenovo G24 Review,70K views,5 months ago
14k Tk Peladn RX 580 2048SP 8GB Graphics Card Review,167K views,5 months ago
30K BDT PC Build Guide ft Ryzen 5 5600G,571K views,5 months ago
পিসি'তে অনেক কারেন্ট?💀 সমাধান!!,82K views,5 months ago
Maximum RGB Case Review,64K views,5 months ago
43K BDT Walton Prelude N50 Pro Laptop Review | Best Laptop Under 50000,84K views,5 months ago
100hz MSI MP223 Monitor Review | 10000 Taka Best Monitor,100K views,5 months ago
Intel ARC A770 16GB Review | 40K BDT,85K views,6 months ago
Project Night Fury PC Build ft RTX 4070 Ti Audio Fixed,36K views,6 months ago
Project Night Fury ft RTX 4070 Ti,74K views,6 months ago
"DAHUA SSD Review, QUALITY??!  E900 NVME, C800A SATA",55K views,6 months ago
100K Tk PC Build for @HabluProgrammer,186K views,6 months ago
Testing Budget Xiaomi Monitors,110K views,6 months ago
কলকাতায় কি পিসি প্রোডাক্টের দাম কম বাংলাদেশ থেকে?,85K views,7 months ago
Budget Monitor Comparison | Under 10K BDT🤯,135K views,7 months ago
BracU Campus এ একদিন | Mongol-Tori | URC 2023,73K views,7 months ago
দেশী গেমিং মনিটর! | Walton WD27GI06 Review,55K views,7 months ago
কোনটা কোন ভিডিওর? PCB BD Intro Compilation Part 1,12K views,7 months ago
The Go-To TWS For Budget Users,43K views,7 months ago
Dahua LM22 B200S Monitor Review | 3 Yr Warranty,59K views,7 months ago
প্রসেসর বায়িং গাইড ২০২৩,193K views,8 months ago
"Custom Loop On TT Core P6 | BDT 500,000 TK",145K views,8 months ago
39K Budget Pc Build Guide 2023 | Ryzen 7 5700G,353K views,8 months ago
50000 Tk Budget Laptop Review ASUS Expertbook P1,142K views,8 months ago
Walton i7 11370H Laptop Review MX711H,49K views,8 months ago
Weather Demand | 5k Bdt DeepCool CH370 Case Review,59K views,8 months ago
19k Budget PC Build Guide 2023 All Purpose,259K views,8 months ago
Fastest GEN 4 NVME SSD? KC3000 Kingston Review,34K views,8 months ago
Quadro A4000 VS 4070ti Geforce RTX Productivity Tested,33K views,8 months ago
RTX Quadro Professional PC Build 2023,108K views,9 months ago
89k Gaming Laptop Review | HP Victus 16,117K views,9 months ago
"Realme Vs Redmi মিড রেঞ্জে ব্র্যান্ড যুদ্ধ, কে জিতলো?",22K views,9 months ago
Blackmagic 8K 120FPS Test Footage,19K views,9 months ago
10K Priced Keyboard | Worth It?,17K views,9 months ago
বাজেট আছে তো? Logitech G502 X Plus Review,22K views,9 months ago
AI ব্যবহার করে প্রোডাক্টিভিটি লাইভ ওয়েবিনার,17K views,9 months ago
GPU Buying Guide 2023,115K views,9 months ago
Pocket PUNISHER PC Build 2023,52K views,9 months ago
First RTX 4080 Laptop | Lenovo Legion Pro 7i Bangla Review,102K views,10 months ago
Your Office Mate | Lenovo Aio PC Bangla Review,35K views,10 months ago
Another Graphics Card!! Intel Arc A750 Bangla Review,119K views,10 months ago
DRAM Less But FAST Biwintech NVME & Sata SSD Review,42K views,10 months ago
A Beautiful Case Review Montech Sky 2,61K views,10 months ago
Value or Trash? Cheapest GEN 4 NVMe Kingston NV2 250GB SSD Review,45K views,10 months ago
Titan PC Build ft nVidia RTX 3090ti FE | 13900k,92K views,10 months ago
অদেখা রাজশাহী | Rajshahi Vlog @mcmesports @Wrath_eSports @THapraoGaming @mssesports8883 A S H Gam,22K views,10 months ago
একটি ছোট  কম্পিউটার কেস | Value Top V100 Review,51K views,11 months ago
ChatGPT VS PC Builder Bangladesh | Testing the AI,50K views,11 months ago
রাজশাহীতে একদিন | Rajshahi Tour,36K views,11 months ago
Making of a Dream Gaming Room Setup,110K views,11 months ago
Beginners PC Build Guide | Budget | Component Selection | Where to Buy?,205K views,11 months ago
60k Tk PC Build Guide ft i5 13400 Intel 13th Gen,199K views,11 months ago
কেমন গেলো? Final Round Best Of BD: Pc Battle 2022 | Season 01,90K views,1 year ago
Ultimate Gaming PC Build | Project Strateon 2.0,216K views,1 year ago
কে জিতলো মনিটর? Eerna Ltd IDB Branch Opening,19K views,1 year ago
10K BDT Smartphone | Benco V90 Impressions,28K views,1 year ago
31000 Taka Budget PC Build Guide,184K views,1 year ago
দেশি Gaming Chair সাগা,107K views,1 year ago
Preparations Vlog City It Mega Fair 2022 | BCS Computer City,20K views,1 year ago
LG Ultragear gaming series | Worth the money!,65K views,1 year ago
Beauty With Performance | Lenovo Legion 5 Bangla Review,60K views,1 year ago
Nvidia GeForece RTX4080 Teardown & Review,19K views,1 year ago
Fastest Gaming PC Build? RTX 4090 🔥,162K views,1 year ago
World's Cheapest Gaming Monitor | Redmi G24 165Hz,181K views,1 year ago
94000 Tk Gaming PC Build Guide 2022,237K views,1 year ago
Walton FlagShip PC TearDown ► Make My PC Part 2,95K views,1 year ago
Techland BD - BCS Computer City Branch Opening & Giveaway,59K views,1 year ago
Walton - Make My PC Review Part 1,82K views,1 year ago
The Shark Is BACK!! Intel 13th Gen Price in BD,90K views,1 year ago
ViewSonic Elite Road Show 2022 | 60hz vs 144hz,23K views,1 year ago
First Custom Mechanical Keyboard Project!!! (It's a disaster),52K views,1 year ago
"RTX 4090 Productivity Review Video Editing, 3D Workflow",34K views,1 year ago
Reacting to RTX 4090 Colorful NB ft @RafsanTheChotobhai,64K views,1 year ago
NVIDIA RTX 4090 Ada Love Less(?) GPU Review,68K views,1 year ago
"23,690 Tk Bare Minimum Gaming PC ft Athlon 3000G",129K views,1 year ago
RTX 4090 First Impressions from BD,64K views,1 year ago
Mini-ITX Beauty Phanteks Shift Air 2 PC Build ft RTX 3080 Strix,58K views,1 year ago
২.৫ হাজার টাকার চেয়ার VS ২ লাখ টাকার চেয়ার,99K views,1 year ago
35000 Tk Lite Gaming PC Build Guide 2022 ft R5 4650G,231K views,1 year ago
Lenovo Brand Day at Multiplan Center,26K views,1 year ago
22000 Tk Basic PC Build Guide 12th Gen,183K views,1 year ago
চেয়ার The Kedara 💰,35K views,1 year ago
GAME DEVELOPERS PC 🤖,75K views,1 year ago
BenQ EX600 Projector Review | বিশ্বকাপ প্রিপারেশন,18K views,1 year ago
First Logitech Exclusive Store in BD,82K views,1 year ago
Balanced Professional PC 2022,107K views,1 year ago
18k Monitor with All Adjustment Features!!! Asus VA229QSB Monitor Review,85K views,1 year ago
68k Tk Casual Laptop Lenovo Slim 3i Review,106K views,1 year ago
Fixing Studio Sound,44K views,1 year ago
95000 Tk PC Build Guide 2022 | Gaming + Productivity,270K views,1 year ago
কম্পিউটার প্রযুক্তি পণ্যের বাজেট ভাবনা ২০২২,60K views,1 year ago
New Budget monitor from LENOVO!! L22i Review,43K views,1 year ago
Mini ITX Madness 🌶️ পিচ্চি Gaming PC Build 🤏,91K views,1 year ago
First Project at BUET | Genetic Tree Estimation 🧬,223K views,1 year ago
Best deal under 55k BDT Budget | Acer Extensa 15 EX215-52-58SQ Laptop Bangla Review,116K views,1 year ago
Unpublished Computex VLOG from 2019 Just for Fans স্যরি জাহিদ ভাই,24K views,1 year ago
Monitor for Creators MSI PS341WU 5K2K Ultra-wide Monitor Review,43K views,1 year ago
365k BDT The Mad Odyssey Gaming PC Build ft 12th Gen 12900k | Inspired by @GGFEvents,139K views,1 year ago
Dream মাল্টি মনিটর Setup - All About ARM's & Mounts,164K views,1 year ago
4k 144Hz Gaming Monitor!! LG 27GP950-B Review,77K views,1 year ago
45k TAKA PC Build Guide 2022 ft Intel i5 12400,328K views,1 year ago
Abomination Na Blessing?!! RX 6500XT Review,157K views,1 year ago
একটি কার্ভড গেমিং মনিটরের আত্মকাহিনী !!,43K views,2 years ago
45000 Tk Budget PC Build Guide 2022 ft. Ryzen 5 5600G,460K views,2 years ago
18K BDT for Fastest Polling Rate!  Worth It?,39K views,2 years ago
First Ultragear 240Hz Monitor! Is it Good?! LG 27GN750 Review Bangla,21K views,2 years ago
MSI GF65 Thin 10UE Gaming Laptop Review i7 10750h RTX 3060 Max Q,73K views,2 years ago
Monitor for Professional CREATORS!!! Pro Art Series,23K views,2 years ago
2021 Flagship Gaming PC Build - The Big Daddy,231K views,2 years ago
New Mic!! #shorts,25K views,2 years ago
Warranty & After Sales SAGA Ft Samsung BD 🤐,403K views,2 years ago
কিডনীর মায়া থাকলে ভিডিওটি দেখবেন না 🐸  LG 34wk95u Nano IPS Ultrawide Professional Monitor,66K views,2 years ago
"Building for An Animator | Mid Budget Professional PC Build Ryzen 5 3600, 980Ti",230K views,2 years ago
Walton PC Tear Down ! ☠️,393K views,2 years ago
Building without Budget 2021,301K views,2 years ago
50000 Taka Budget Laptop Review | MSI B10MW Modern 14 the Almost Perfect Laptop,361K views,2 years ago
"Gaming Headphone Round Up | Razer, HyperX Cloud, HyperX Stringer, Turtle Beach, Corsair, PCB BD :/",96K views,2 years ago
Budget RTX Launched!! 🔥🔥 Colorful 3060 Review,126K views,2 years ago
এ কেমন মনিটর ??!!! 🐸 Samsung Odyssey G9,197K views,2 years ago
একটি মিড রেঞ্জ এক্সপেন্সিভ জিপিউ !!! MSI 3060 Ti Gaming X Trio Review,80K views,2 years ago
Portable Power House 🔥🤏 Mini ITX Gaming PC Build,232K views,2 years ago
The 5G Phone for Non 5G World!!,23K views,2 years ago
"""Budget G-Sync"" Gaming monitor?!!! |  ASUS TUF VG259Q Review",71K views,2 years ago
44k Chair vs 100Tk Back Rest | চেয়ার বড় না মাজা বড় ?!!,306K views,3 years ago
দেশি গেমিং ল্যাপটপ!! Walton Karonda GX710G Pro Review,163K views,3 years ago
Samsung LF22T350FHW IPS Monitor Review | New Budget King ? NOO!!!,205K views,3 years ago
Our First !! RTX 3080 Gaming PC Build 2020 🔥,276K views,3 years ago
iPhone 12 Pro Max | First In Depth Review from Bangladesh | PCB BD | 4K,216K views,3 years ago
Beauty vs Performance PC Case | NZXT H510 Elite Review,173K views,3 years ago
49000 Taka Budget Gaming PC Build Guide 2020,802K views,3 years ago
"ASUS TUF RTX 3080 Bangla Review |  Editing, Gaming Performance Test",105K views,3 years ago
মনিটরে ছানি পড়া রোগ । Monitor Backlight Bleed & Glow PRESCRIPTION!!,227K views,3 years ago
IPS vs VA Panel | 144Hz Gaming Monitor Review ft ASUS VG249Q & VG24VQ,114K views,3 years ago
BCS Computer City তে একদিন । কম্পিউটার মার্কেটের হালচাল,281K views,3 years ago
LAST OF THEM - Minimal Streamer PC Build 2020,225K views,3 years ago
The TRUTH UNTOLD!!   VivoBook S15 Series 2020 রিভিউ,394K views,3 years ago
SteamBoy - Best Gaming Builds of BD | ft. RTX 2080ti Kudan,252K views,3 years ago
ভিডিও এডিটিং করতে কি গ্রাফিক্স কার্ড লাগে? NVENC Tested! Ft Geforce RTX 2070 super,148K views,3 years ago
A Minimal and Clean এডিটিং পিসি বিল্ড for Sohag360 ft Geforce RTX 2070 Super,908K views,3 years ago
রে ট্রেসিং - TESTED!!!? Two years after the Launch ft. Geforce RTX 2080 Super Teardown,41K views,3 years ago
"Almost All Budget SATA SSD Reviewed | Walton, Transcend, Team, Colorful, Gigabyte, WD, ADATA",606K views,3 years ago
80000 Taka Gaming PC Build Guide 2020 ft Geforce RTX 2060 Super | PCB BD,798K views,3 years ago
1ms Nano IPS Gaming Monitor!!? OVERPRICED!?! LG27GL850 Bangla Review | PCB BD,66K views,3 years ago
Gadget from Ali Express Under 1000 Taka | PCB BD,83K views,3 years ago
Made In Bangladesh Ultimate Gaming PC Build  |  Project Strateon,572K views,3 years ago
Project Strateon  | Teaser,9.2K views,3 years ago
Realme X 50 5G | Is it Worthy? | Full In Depth Bangla Review | PCB BD,12K views,3 years ago
Poco X2 vs Realme X2 | Full In Depth Bangla Comparison | PCB BD | 4K,10K views,3 years ago
PC Gadgets Under 3500 Taka | PCB BD | 4K,189K views,3 years ago
Aidig S Smart Watch | Best Budget Smart Watch | Bangla In Depth Review | PCB BD,46K views,3 years ago
"লিকুইড কুলার রিভিউ । NZXT Kraken X62, X52, M22 AIO Liquid Cooler Line Up Review",88K views,3 years ago
Poco X2 Full In Depth Bangla Review | New Value King? | PCB BD | 4K,33K views,3 years ago
Budget TWS Comparison | Best True Wireless Earphones You can buy Right Now!,38K views,3 years ago
Just another Mini ITX Gaming PC  Build !!,56K views,3 years ago
Realme 5i In Depth Full Bangla Review | New Budget King | PCB BD | 4K,57K views,3 years ago
"Professional Photo, Video Editing, Color grading, Artists Monitor Bangla Review | ASUS ProArt PA27AC",41K views,3 years ago
60K TAKA Budget Gaming Creator PC Build Guide ft Ryzen 5 3500 | PCB BD,364K views,3 years ago
Aspor TWS A605 Bluetooth Earbuds | Full In Depth Bangla Review | PCB BD | 4K,12K views,3 years ago
"New ASUS Laptop Lineup VIVOBOOK, EXPERTBOOK, STUDIOBOOK | ASUS Apac Media Summit Taiwan 2020",65K views,3 years ago
Xiaomi Yeelight Bedside Lamp Bangla Review,23K views,3 years ago
SLIghtning BOLT - The Monster SLI Gaming PC Build,221K views,3 years ago
Top 5 Gadgets Under 1000 Taka | Priyoshop Exposed,108K views,4 years ago
PC Builders 2020 - In Search of Incredible,7.9K views,4 years ago
Viewsonic VX2276 Monitor Review | Budget IPS | PCB BD,94K views,4 years ago
আমরা তোমাদের ভুলব না | মাইনক্রাফট ট্রিবিউট,8.9K views,4 years ago
ASUS Zenbook Pro Duo UX581 Tested! 258k!! Worth it?,16K views,4 years ago
ইন্টেল বনাম রাইজেন । RYZEN 5 3600 VS Intel Core i5 9400F Review,100K views,4 years ago
Realme X2 pro One Month Later Review | Underrated Beast of 2019 | PCB BD | [4k],18K views,4 years ago
৩২ ইঞ্চি কার্ভড গেমিং মনিটর? MSI Optix MAG321CQR Gaming Monitor Review,33K views,4 years ago
81000 Taka PC Build 2019 Ft. Ryzen 5 3600 | GTX 1660,103K views,4 years ago
AGONTUK | Official Reveal Teaser | PCB BD Exclusive,113K views,4 years ago
Top 5 Gadget Under 5000 Taka | PCB BD | [4k],90K views,4 years ago
Realme X2 | The Real Midranger Beast | In Depth Review | PCB BD | [4k],28K views,4 years ago
The Mighty 600k SLightning BOLT Build first look ⚡ ⚡ ⚡,15K views,4 years ago
One Plus Bullet Wireless 2 Full Bangla Review | Not for Bass Lover | PCB BD | [4K],15K views,4 years ago
iPhone 11 Pro Full Bangla Review | iPhone 11 Pro vs Galaxy Note 10+ vs iPhone XS Max,227K views,4 years ago
"Elegant, Stylish & No Compromise Notebook | ASUS Vivobook S15 S531FL Laptop Bangla Review",44K views,4 years ago
ASUS Spends the MOST in Research and Development | Computex 2019 | PCB BD,4.3K views,4 years ago
ASUS ROG Strix XG49VQ Super Ultra Wide Gaming Monitor | In Depth Bangla Review | PCB BD [4K],112K views,4 years ago
iPhone 11 Pro First Impression Bangla Review | Better Than We Thought?,111K views,4 years ago
Best Allrounder Gaming Monitor? ASUS ROG Strix XG32VQR Bangla Review,26K views,4 years ago
Xiaomi Redmi Note 8 Pro In Depth Full Bangla Review | Mediatek G90T Chipset | 64 MP Camera | PCB BD,38K views,4 years ago
Budget Friendly 144hz Monitor In Town | LG 24GL600F Gaming Monitor Bangla Review | PCB BD,86K views,4 years ago
35000 Taka Ryzen 5 3400G Budget Gaming PC Buying Guide 2020 | PCB BD,589K views,4 years ago
Samsung Galaxy Note 10 Plus Full Bangla Review | Galaxy Note 10+ vs iPhone XS Max | PCB BD,162K views,4 years ago
"Stylish, Luxurious, Mainstream | MSI GL63 9RDS Gaming Laptop Review | PCB BD",12K views,4 years ago
ASUS STRIX SCAR III Done right I ROG GL531GV Gaming Laptop Review,16K views,4 years ago
One Plus 7 vs Redmi K20 Pro | The Ultimate Comparison Battle | Which one is best? | PCB BD [4K,10K views,4 years ago
Colorful GPU & Motherboard Line Up | GTX 1650 Giveaway | Colorful Booth Coverage Computex 2019,8.2K views,4 years ago
VIVO S1 Full In Depth Bangla Review | Don't Fall for The Beauty | PCB BD [4K],250K views,4 years ago
Gadgets Under 200 Taka | DARAZ Flash Sale Exposed | PCB BD [4K],668K views,4 years ago
Most popular Budget PC case seller | XIGMATEK Booth Coverage Computex 2019,12K views,4 years ago
Ultrawide Gaming or Productivity? Monitor Review ASUS ROG STRIX XG35VQ,21K views,4 years ago
Xiaomi MI A3 | Full In Depth Bangla Review | Really a downgrade? | PCB BD [4K],8.1K views,4 years ago
A Gaming Benchmark Build | Gaming PC Build | PCB BD,84K views,4 years ago
Redmi AirDots In Depth Bangla Review | Great True Wireless Earphone  | PCB BD,120K views,4 years ago
GPU WAR AMD RADEON VII vs NVIDIA RTX 2080 head to head | PCB BD,7.1K views,4 years ago
Redmi K20 Pro | Flagship Killer from Xiaomi | Bangla review | PCB BD,28K views,4 years ago
Gaming Tables & Chairs are here | Gamdias Coverage Computex 2019,11K views,4 years ago
ASUS is giving replacement warranty | Laptop Fair 2019 | PCB BD,7.1K views,4 years ago
Top 5 Gadgets Under 1000 Taka | PCB BD,54K views,4 years ago
Huawei Google Relationship is Strong AGAIN | Smartphone & Tab Expo 2019,3.5K views,4 years ago
Limited Edition X570 Motherboards | AsRock Coverage Computex 2019,5.5K views,4 years ago
ASUS ROG GL704GV Gaming Laptop Bangla Review,10K views,4 years ago
1st Player Coverage Computex 2019,5.7K views,4 years ago
"Insane PC Builds, Case Mods | Thermaltake Coverage Computex 2019",25K views,4 years ago
Best of Taiwan | ASUS Coverage Computex 2019,10K views,4 years ago
"New MSI X570 Motherboards, Gaming Monitor| MSI Coverage Computex 2019",7.2K views,4 years ago
Taipei Vlog Day 5 Computex Begins,2.4K views,4 years ago
Full New ASUS Laptop Line up Coverage 2019 Special Sneak Peek,6.9K views,4 years ago
Stephen Burke Understands Bangla,7K views,4 years ago
Early Access Coverage of ASUS ROG Lineup by PCB BD,5.1K views,4 years ago
NZXT Booth Coverage Computex 2019,10K views,4 years ago
Taipei Vlog Day 3 Th RDNA & Corsair Convene,7K views,4 years ago
The Laptop Revolution ASUS Zenbook Pro Duo is Here! First Impression Hands On!,14K views,4 years ago
AMD Keynote Session 3rd gen Ryzen CPU launch PCB BD Coverage of Computex 2019,5.8K views,4 years ago
Taipei Vlog Day 2 The Sneakpeak |  Giveaway Starts,2.8K views,4 years ago
Samsung S10 Plus Long Term User Review | PCB BD,63K views,4 years ago
Taipei Vlog Day 1 Checking in with AirBNB,4.4K views,4 years ago
ASUS TUF FX505  Budget Gaming Laptop Bangla Review | PCB BD,63K views,4 years ago
ইন্টেল বনাম রাইজেন | Intel i5 9400f vs Ryzen 5 2600 | The Mid-Budget Range CPU Battle,261K views,4 years ago
"1 Lakh Taka Gaming Editing PC Build | Ryzen 5 2600, ASUS TUF B450 Plus , Xigmatek Aquarius Chassis",119K views,4 years ago
Realme 3 Pro Full Bangla Review | Redmi Note 7 Pro Killer? | PCB BD,8.8K views,4 years ago
Xiaomi Redmi Note 7 Bangla Review | Three Months Later,8.5K views,4 years ago
Razer Blade Stealth 2019 Review | PCB BD,26K views,4 years ago
ASUS ROG Zephyrus GX531GW Gaming Laptop Review | PCB BD,22K views,4 years ago
Bangla Budget Gaming Monitor Review | Philips 226E9QDSB,159K views,4 years ago
"90K Taka Gaming PC Buying Guide ft. ASUS ROG Strix GTX 1660 ti, i5 9400-F",54K views,4 years ago
ASUS ROG Strix GTX 1660 ti OC Edition Bangla Review | PCB BD,22K views,4 years ago
বটলনেক তদন্ত ?!  i3 8100 vs i5 9600k and Rtx 2060 | 70K Taka Bottleneck Gaming PC Build,61K views,4 years ago
iPad Pro 11 Review + Apple Pencil 2 | The Best Apple Product Ever?,56K views,4 years ago
120K Taka Bangla Gaming PC Build Guide ft Colorful iGame RTX 2060 Ultimate OC,181K views,4 years ago
Best Useful Budget Gadget for Youtubers | ইউটিউবারদের জন্য বেস্ট গ্যাজেট ২০১৯,10K views,4 years ago
Bangla Gaming Monitor Review | LG 22MK430,35K views,4 years ago
Sapphire Pulse RX 570 4GB GPU Bangla Review 2019 | PCB BD,35K views,4 years ago
144Hz Gaming Monitor Review Asus VG248QE | PCB BD,26K views,4 years ago
